,name,adress,rait,rait_count,link,closing_time,category
0,Farfor,"Харьковский пер., 36Д, Белгород",4.3,391 оценка,https://yandex.ru/maps/org/farfor/73233893783,Открыто до 23:00,Доставка еды и обедов
1,Перчини Grill&Wine,"просп. Славы, 90А, Белгород",4.5,(2416),https://yandex.ru/maps/org/perchini_grill_wine/161324280001,Открыто до 23:00,Ресторан
2,Ниндзя ФУД,"ул. Костюкова, 39, Белгород",4.7,(651),https://yandex.ru/maps/org/nindzya_fud/186872516564,Открыто до 23:00,Кафе
3,Дао,"Харьковская ул., 3, Белгород, этаж 1",4.4,407 оценок,https://yandex.ru/maps/org/dao/17169128887,Открыто до 22:00,Ресторан
4,Тшм,"Белгородский просп., 93, Белгород",3.7,239 оценок,https://yandex.ru/maps/org/tshm/190737174920,Круглосуточно,Быстрое питание
5,Белшашлык,"ул. Попова, 76А, Белгород",4.7,469 оценок,https://yandex.ru/maps/org/belshashlyk/43826473882,Круглосуточно,Быстрое питание
6,Шедевр,"просп. Богдана Хмельницкого, 77, Белгород",4.4,315 оценок,https://yandex.ru/maps/org/shedevr/103969587418,Открыто до 22:30,Кафе
7,Pitnica,"Преображенская ул., 86, Белгород",4.9,1822 оценки,https://yandex.ru/maps/org/pitnica/87837556709,Открыто до 00:00,"Бар, паб"
8,The doner,"Спортивная ул., 1А, 10-й микрорайон, Белгород",4.1,116 оценок,https://yandex.ru/maps/org/the_doner/168328757954,Открыто до 23:00,Кафе
9,The Doner,"ул. Некрасова, 1, Белгород",4.2,153 оценки,https://yandex.ru/maps/org/the_doner/3704031842,Открыто до 22:00,Кафе
10,KFC,"просп. Богдана Хмельницкого, 18А, Белгород",4.2,526 оценок,https://yandex.ru/maps/org/kfc/81916251006,Открыто до 22:00,Быстрое питание
11,Mesto Grill,"Свято-Троицкий бул., 7, Белгород, этаж 1",4.7,1681 оценка,https://yandex.ru/maps/org/mesto_grill/58696673474,Открыто до 00:00,Ресторан
12,Сидрерия,"ул. Костюкова, 36Г, Белгород, БЦ Владимирский, этаж 1",5.0,2162 оценки,https://yandex.ru/maps/org/sidreriya/35871937040,Открыто до 00:00,"Бар, паб"
13,Vasilchuki Chaihona № 1,"Донецкая ул., 93, Белгород, ул. Донецкая, 93",4.8,1810 оценок,https://yandex.ru/maps/org/vasilchuki_chaihona_1/66197417713,Открыто до 01:00,Ресторан
14,Бидон,"просп. Ватутина, 5Г, Белгород",4.8,983 оценки,https://yandex.ru/maps/org/bidon/34459843530,Открыто до 23:00,Ресторан
15,I am pho,"ул. Щорса, 64, Белгород, ТРЦ ""Сити Молл"", этаж 1",4.1,152 оценки,https://yandex.ru/maps/org/i_am_pho/208905932324,Открыто до 22:00,Кафе
16,Футурист. bar+kitchen,"просп. Ватутина, 5Б, Белгород",4.3,863 оценки,https://yandex.ru/maps/org/futurist_bar_kitchen/120552542588,Открыто до 00:00,Кафе
17,Пит-Стоп,"ул. Костюкова, 14, Белгород",4.1,153 оценки,https://yandex.ru/maps/org/pit_stop/42641838756,Круглосуточно,Кафе
18,Грин фиш,"ул. Губкина, 17И, Белгород, этаж 1",4.9,(115),https://yandex.ru/maps/org/grin_fish/45623384314,Открыто до 22:45,Доставка еды и обедов
19,Мир шашлыка,"Владимирский пер., 11А, Белгород",4.6,358 оценок,https://yandex.ru/maps/org/mir_shashlyka/1180411458,Открыто до 23:00,Кафе
20,Папа Джонс,"Гражданский просп., 25, Белгород",4.4,540 оценок,https://yandex.ru/maps/org/papa_dzhons/90022225938,Открыто до 00:00,Пиццерия
21,Еда'ки,"ул. Макаренко, 12, корп. 6, Белгород, этаж 1",4.4,240 оценок,https://yandex.ru/maps/org/yeda_ki/117636070481,Открыто до 22:00,Быстрое питание
22,Вкус Счастья,"Харьковская ул., 3, Белгород",4.2,118 оценок,https://yandex.ru/maps/org/vkus_schastya/52884114061,Открыто до 22:00,Кафе
23,KFC,"Белгородский просп., 87, Белгород, ТК Центральный, этаж 1",4.3,1300 оценок,https://yandex.ru/maps/org/kfc/1321687128,Открыто до 22:00,Быстрое питание
24,Потапыч,"Народный бул., 64, Белгород",4.1,849 оценок,https://yandex.ru/maps/org/potapych/1077887981,Открыто до 23:00,Пиццерия
25,ПАРА-пицца,"ул. Горького, 76А, Белгород",4.9,(262),https://yandex.ru/maps/org/para_pitstsa/86691904853,Открыто до 22:00,Доставка еды и обедов
26,Корчма,"просп. Богдана Хмельницкого, 84, Белгород, этаж 1",4.4,861 оценка,https://yandex.ru/maps/org/korchma/230872268713,Открыто до 00:00,Ресторан
27,Дикая утка,"Преображенская ул., 63Б, Белгород, этаж 1",4.7,1050 оценок,https://yandex.ru/maps/org/dikaya_utka/133726938482,Открыто до 23:00,Кафе
28,KFC Авто,"просп. Богдана Хмельницкого, 18А, Белгород",4.2,1160 оценок,https://yandex.ru/maps/org/kfc_avto/91033790754,Открыто до 00:00,Быстрое питание
29,Потапыч,"ул. Королёва, 4Б, Белгород",4.2,1680 оценок,https://yandex.ru/maps/org/potapych/1087032549,Открыто до 23:00,Пиццерия
30,MYBOX,"ул. 50-летия Белгородской области, 19, Белгород, Овен, этаж 1",4.2,274 оценки,https://yandex.ru/maps/org/mybox/169140658774,Открыто до 23:00,Суши-бар
31,The GriLL,"ул. 50-летия Белгородской области, 19, Белгород, ТЦ Овен",4.3,195 оценок,https://yandex.ru/maps/org/the_grill/42734842862,Открыто до 23:00,Быстрое питание
32,Восточный смак,"ул. Победы, 71, Белгород",4.3,708 оценок,https://yandex.ru/maps/org/vostochny_smak/1799446382,Круглосуточно,Быстрое питание
33,Тук-Тук,"ул. Попова, 58, Белгород",4.4,351 оценка,https://yandex.ru/maps/org/tuk_tuk/38349068751,Круглосуточно,Быстрое питание
34,Восточное бистро,"Белгородский просп., 87А, корп. 2, Белгород",4.5,467 оценок,https://yandex.ru/maps/org/vostochnoye_bistro/150515449959,Открыто до 02:00,Быстрое питание
35,Пицца 32 СМ,"ул. Мичурина, 52, Белгород",4.5,500 оценок,https://yandex.ru/maps/org/pitstsa_32_sm/244589096480,Открыто до 01:45,Пиццерия
36,Потапыч,"Народный бул., 101, Белгород, этаж цокольный",4.0,1160 оценок,https://yandex.ru/maps/org/potapych/1085136466,Открыто до 23:00,Пиццерия
37,Стэйси пицца,"просп. Славы, 86, Белгород",4.7,(448),https://yandex.ru/maps/org/steysi_pitstsa/204054002796,Открыто до 21:45,Пиццерия
38,Еда в лаваше,"ул. Калинина, 62, Белгород",4.0,44 оценки,https://yandex.ru/maps/org/yeda_v_lavashe/149574743022,Открыто до 22:00,Быстрое питание
39,Лес и Лис,"Волчанская ул., 292Б, Белгород, этаж 1",4.9,(3061),https://yandex.ru/maps/org/les_i_lis/60532692927,Открыто до 23:00,Ресторан
40,Yellowcafe.ru,"ул. Щорса, 45Л, Белгород, этаж 1",4.6,471 оценка,https://yandex.ru/maps/org/yellowcafe_ru/233208043873,Открыто до 21:00,Доставка еды и обедов
41,Ale House,"ул. Щорса, 93, Белгород, этаж 1",4.7,2693 оценки,https://yandex.ru/maps/org/ale_house/1390148821,Открыто до 23:30,"Бар, паб"
42,Халяль,"ул. 50-летия Белгородской области, 12Б, Белгород",4.4,246 оценок,https://yandex.ru/maps/org/khalyal/195268017846,Открыто до 20:00,Столовая
43,12 Стульев,"ул. Есенина, 8А, Белгород, этаж 1 , 2",4.2,562 оценки,https://yandex.ru/maps/org/12_stulyev/1157304685,Открыто до 00:00,Ресторан
44,Ресторан,"ул. Попова, 18, Белгород",4.2,38 оценок,https://yandex.ru/maps/org/restoran/68094651754,График работы не указан,Ресторан
45,Пицаныч & Шавермыч,"ул. Победы, 71, Белгород",4.3,791 оценка,https://yandex.ru/maps/org/pitsanych_shavermych/25279961151,Открыто до 00:00,Пиццерия
46,Грильная 31,"ул. Победы, 85А, Белгород",4.2,68 оценок,https://yandex.ru/maps/org/grilnaya_31/216484969007,Открыто до 20:00,Быстрое питание
47,Очень вкусная еда,"Садовая ул., 31, Белгород, этаж 1",3.4,84 оценки,https://yandex.ru/maps/org/ochen_vkusnaya_yeda/135546426970,Круглосуточно,Быстрое питание
48,Сахар,"просп. Богдана Хмельницкого, 79, Белгород",4.8,(231),https://yandex.ru/maps/org/sakhar/220267115404,Открыто до 23:00,Кофейня
49,Трапеза,"просп. Славы, 31А, Белгород, этаж 1",4.1,98 оценок,https://yandex.ru/maps/org/trapeza/1109696060,Открыто до 20:00,Кафе
50,Benny Kitchen,"ул. Николая Островского, 27, Белгород",4.5,1248 оценок,https://yandex.ru/maps/org/benny_kitchen/114962261483,Открыто до 00:00,Кафе
51,Чучело,"Народный бул., 79Б, Белгород, этаж 1",4.8,146 оценок,https://yandex.ru/maps/org/chuchelo/2217110393,Открыто до 00:00,"Бар, паб"
52,Farfor,"Харьковский пер., 36Д, Белгород",4.3,391 оценка,https://yandex.ru/maps/org/farfor/73233893783,Открыто до 23:00,Доставка еды и обедов
53,Перчини Grill&Wine,"просп. Славы, 90А, Белгород",4.5,(2416),https://yandex.ru/maps/org/perchini_grill_wine/161324280001,Открыто до 23:00,Ресторан
54,Старик Хинкалыч,"ул. Щорса, 64, Белгород, МТРК СитиМолл Белгородский",4.5,592 оценки,https://yandex.ru/maps/org/starik_khinkalych/7263629297,Открыто до 22:00,Кафе
55,Потапыч,"Свято-Троицкий бул., 1, Белгород, этаж 1",4.0,548 оценок,https://yandex.ru/maps/org/potapych/1003208347,Открыто до 23:00,Пиццерия
56,Forest grill,"Гражданский просп., 34, Белгород",5.0,2059 оценок,https://yandex.ru/maps/org/forest_grill/126721151869,Открыто до 00:00,Ресторан
57,Башня,"просп. Славы, 55, Белгород, этаж 1",4.7,1101 оценка,https://yandex.ru/maps/org/bashnya/1365292204,Открыто до 00:00,Ресторан
58,Лабиринт,"просп. Богдана Хмельницкого, 133М, Белгород, этаж цокольный",4.3,393 оценки,https://yandex.ru/maps/org/labirint/1794899845,Открыто до 21:00,Кафе
59,Вкусно — и точка,"Белгородский просп., 87, Белгород",4.4,376 оценок,https://yandex.ru/maps/org/vkusno_i_tochka/26511763226,Открыто до 00:00,Быстрое питание
60,Смокерная,"Садовая ул., 3Б, Белгород",4.8,194 оценки,https://yandex.ru/maps/org/smokernaya/16733042178,Открыто до 22:00,Доставка еды и обедов
61,Кенгуру,"ул. Щорса, 57, Белгород, этаж 1",4.3,340 оценок,https://yandex.ru/maps/org/kenguru/158170228173,Открыто до 21:30,Пиццерия
62,Экватор,"ул. Победы, 85, корп. 11, Белгород",3.8,257 оценок,https://yandex.ru/maps/org/ekvator/1286448209,Открыто до 18:00,Кафе
63,Тшм,"просп. Богдана Хмельницкого, 101, Белгород",4.0,138 оценок,https://yandex.ru/maps/org/tshm/68420646008,Открыто до 00:00,Быстрое питание
64,Армада,"Гостенская ул., 2Б, Белгород",3.8,126 оценок,https://yandex.ru/maps/org/armada/236467961823,Открыто до 00:00,Быстрое питание
65,Виноград,"Преображенская ул., 86, Белгород",4.9,(688),https://yandex.ru/maps/org/vinograd/28691424978,Открыто до 00:00,Ресторан
66,Восточный смак,"бул. Юности, 5Б, Белгород, ТЦ Гулливер, этаж 1",4.1,373 оценки,https://yandex.ru/maps/org/vostochny_smak/200704330338,Круглосуточно,Кафе
67,Столовая-Пловная,"Михайловское ш., 23, Белгород",4.5,190 оценок,https://yandex.ru/maps/org/stolovaya_plovnaya/100140048733,Открыто до 17:00,Столовая
68,Кейтеринг Белогорья,"просп. Богдана Хмельницкого, 166А, Белгород, этаж 1",4.4,78 оценок,https://yandex.ru/maps/org/keytering_belogorya/1727963751,Открыто до 20:00,Кейтеринг
69,Амбер,"просп. Славы, 39А, Белгород, этаж 1",4.9,758 оценок,https://yandex.ru/maps/org/amber/164156250545,Открыто до 00:00,"Бар, паб"
70,Roll Food Boll,"ул. Губкина, 39А, Белгород",4.4,66 оценок,https://yandex.ru/maps/org/roll_food_boll/170461627786,Открыто до 22:00,Доставка еды и обедов
71,Веретено,"Волчанская ул., 280А, Белгород",4.9,1062 оценки,https://yandex.ru/maps/org/vereteno/1232425820,Открыто до 00:00,Ресторан
72,Очень вкусная еда,"ул. Губкина, 29, корп. 1, Белгород",4.0,153 оценки,https://yandex.ru/maps/org/ochen_vkusnaya_yeda/131161222483,Круглосуточно,Быстрое питание
73,БелОбед,"ул. Константина Заслонова, 191, Белгород, этаж 1",4.3,85 оценок,https://yandex.ru/maps/org/belobed/193117717536,Закрыто до завтра,Доставка еды и обедов
74,Томато,"ул. Попова, 17, Белгород",4.6,1138 оценок,https://yandex.ru/maps/org/tomato/58409121216,Открыто до 22:00,Ресторан
75,Палки & Вилки,"Гражданский просп., 29А, Белгород",4.3,189 оценок,https://yandex.ru/maps/org/palki_vilki/169726383450,Открыто до 02:00,Ресторан
76,Восточный дворик,"Гражданский просп., 2, Белгород",4.3,484 оценки,https://yandex.ru/maps/org/vostochny_dvorik/56700338472,Круглосуточно,Кафе
77,Алиса в стране чудес,"ул. 50-летия Белгородской области, 14, Белгород",4.5,1646 оценок,https://yandex.ru/maps/org/alisa_v_strane_chudes/1366275916,График работы не указан,Кафе
78,Чернозём,"бул. Юности, 2, Белгород",4.3,409 оценок,https://yandex.ru/maps/org/chernozyom/84641082036,Открыто до 23:00,Кафе
79,Корчма,"Гражданский просп., 18, Белгород, этаж 1",4.5,599 оценок,https://yandex.ru/maps/org/korchma/1190271420,Открыто до 00:00,Ресторан
80,Тшм,"ул. Победы, 145, Белгород",4.0,249 оценок,https://yandex.ru/maps/org/tshm/195128743745,Круглосуточно,Быстрое питание
81,Вкусно — и точка,"просп. Богдана Хмельницкого, 160А, Белгород",4.5,1218 оценок,https://yandex.ru/maps/org/vkusno_i_tochka/33792176335,Открыто до 22:00,Быстрое питание
82,Бублик,"Свято-Троицкий бул., 1, Белгород",4.4,414 оценок,https://yandex.ru/maps/org/bublik/59848137704,Открыто до 22:30,Кафе
83,Шаурма & Гриль,"ул. Костюкова, 39А, Белгород",4.2,135 оценок,https://yandex.ru/maps/org/shaurma_gril/118153595234,Открыто до 23:00,Быстрое питание
84,Бробар,"Студенческая ул., 1Б, Белгород",4.0,21 оценка,https://yandex.ru/maps/org/brobar/57280869368,Открыто до 20:00,Быстрое питание
85,Барашек,"Корочанская ул., 39В, Белгород",5.0,2309 оценок,https://yandex.ru/maps/org/barashek/33147398141,Открыто до 00:00,Ресторан
86,Ням-Ням,"ул. Некрасова, 31Б, Белгород, этаж 1",4.1,439 оценок,https://yandex.ru/maps/org/nyam_nyam/1237410236,Открыто до 22:00,Пиццерия
87,Oysters бар,"Свято-Троицкий бул., 1, Белгород",4.3,200 оценок,https://yandex.ru/maps/org/oysters_bar/174941923433,Открыто до 23:00,Ресторан
88,Food Cost,"Песчаная ул., 1А, Белгород",4.1,69 оценок,https://yandex.ru/maps/org/food_cost/35216497491,Открыто до 21:00,Кофейня
89,Артель,"ул. Королёва, 4Д, Белгород",4.5,1234 оценки,https://yandex.ru/maps/org/artel/115849083421,Открыто до 00:02,Кафе
90,Смак Восточный,"Сумская ул., 70В, Белгород",4.4,332 оценки,https://yandex.ru/maps/org/smak_vostochny/193900958235,Круглосуточно,Быстрое питание
91,Восточный смак,"ул. Губкина, 22А, Белгород",4.1,316 оценок,https://yandex.ru/maps/org/vostochny_smak/238887450220,Круглосуточно,Быстрое питание
92,У Брата,"ул. Апанасенко, 95, Белгород, этаж 1",4.4,161 оценка,https://yandex.ru/maps/org/u_brata/111290790903,Открыто до 22:00,Кафе
93,Восточный Смак,"Корочанская ул., 493А, Белгород",4.7,1756 оценок,https://yandex.ru/maps/org/vostochny_smak/17522521873,Круглосуточно,Быстрое питание
94,Восточный смак,"ул. Серафимовича, 67, Белгород, этаж 1",4.3,391 оценка,https://yandex.ru/maps/org/vostochny_smak/1834505562,Круглосуточно,Быстрое питание
95,Сашими,"бул. Юности, 2, Белгород, этаж 1",4.8,(118),https://yandex.ru/maps/org/sashimi/54126388682,Открыто до 21:41,Доставка еды и обедов
96,Суши Тайм,"ул. Николая Островского, 16, Белгород, этаж -1",4.2,332 оценки,https://yandex.ru/maps/org/sushi_taym/32463987438,Открыто до 22:00,Суши-бар
97,Потапыч,"ул. Макаренко, 12Г, Белгород",4.1,1204 оценки,https://yandex.ru/maps/org/potapych/81206838608,Открыто до 23:00,Пиццерия
98,Кофе и Баббл Ти,"ул. Победы, 104, Белгород",5.0,457 оценок,https://yandex.ru/maps/org/kofe_i_babbl_ti/96222984660,Открыто до 21:00,Кофейня
99,Мидийное место,"ул. Попова, 36, Белгород",5.0,1027 оценок,https://yandex.ru/maps/org/midiynoye_mesto/62180282954,Открыто до 23:00,Ресторан
100,Francesco,"Гражданский просп., 56, Белгород",4.4,526 оценок,https://yandex.ru/maps/org/francesco/178436360106,Открыто до 23:00,Кафе
101,Грин Фиш,"Садовая ул., 6, Белгород",4.3,166 оценок,https://yandex.ru/maps/org/grin_fish/167278072767,Открыто до 22:45,Суши-бар
102,Гринн Beer,"просп. Богдана Хмельницкого, 137Т, Белгород, этаж 3",4.1,1052 оценки,https://yandex.ru/maps/org/grinn_beer/1184452651,Открыто до 23:00,Ресторан
103,Любимая,"ул. Белгородского Полка, 50, Белгород",3.9,126 оценок,https://yandex.ru/maps/org/lyubimaya/1017342120,Открыто до 23:00,Кафе
104,Кафе 10.03,"Парковая ул., 10, Белгород",4.4,511 оценок,https://yandex.ru/maps/org/kafe_10_03/141580445815,Открыто до 23:00,Кафе
105,Стейк & Бургер Мираторг,"Свято-Троицкий бул., 17, Белгород",4.3,153 оценки,https://yandex.ru/maps/org/steyk_burger_miratorg/227855793240,Открыто до 20:00,Кафе
106,Академия здорового питания,"Комсомольская ул., 41, Белгород",4.4,35 оценок,https://yandex.ru/maps/org/akademiya_zdorovogo_pitaniya/174205667313,Открыто до 18:00,Доставка еды и обедов
107,Конор,"ул. Некрасова, 7, Белгород, этаж 1",4.3,270 оценок,https://yandex.ru/maps/org/konor/188208013511,Открыто до 22:00,Кафе
108,I am Pho,"просп. Богдана Хмельницкого, 137Т, Белгород, этаж 4",3.9,103 оценки,https://yandex.ru/maps/org/i_am_pho/74661754223,Открыто до 22:00,Кафе
109,Лаки-Даки,"Преображенская ул., 63Б, Белгород, этаж 1",4.4,46 оценок,https://yandex.ru/maps/org/laki_daki/90271235121,Закрыто до завтра,Доставка еды и обедов
